YEAR,GEOGRAPHY_CODE,JOBS,GVA
2015,E06000001,31263,1299.422424
2015,E06000002,66371,2517.359786
2015,E06000003,42954,1593.742601
2015,E06000004,88973,3739.526623
2015,E06000005,51313,2110.785952
2015,E06000006,65211,3145.951196
2015,E06000007,143907,5924.438925
2015,E06000008,70530,2684.515583
2015,E06000009,66538,2214.54622
2015,E06000010,133692,5502.566683
2015,E06000011,149806,5843.5096
2015,E06000012,74755,2880.94499
2015,E06000013,78141,3349.895776
2015,E06000014,116804,4074.782033
2015,E06000015,142277,5545.608195
2015,E06000016,181947,6953.835981
2015,E06000017,19374,678.896521
2015,E06000018,238614,8535.554807
2015,E06000019,99624,3770.799123
2015,E06000020,94763,3647.899757
2015,E06000021,131718,4822.783978
2015,E06000022,103838,4170.808641
2015,E06000023,302960,13344.335487
2015,E06000024,103063,4354.506904
2015,E06000025,162617,6872.129034
2015,E06000026,125102,4443.294871
2015,E06000027,59375,1997.892692
2015,E06000028,100701,3948.497605
2015,E06000029,88896,3603.728083
2015,E06000030,129025,6536.660633
2015,E06000031,124697,5078.648444
2015,E06000032,107256,5296.905352
2015,E06000033,74081,2859.191608
2015,E06000034,74344,2909.487851
2015,E06000035,110441,4755.805811
2015,E06000036,71855,3885.401043
2015,E06000037,112406,6220.724
2015,E06000038,116988,6499.130139
2015,E06000039,94368,5253.935022
2015,E06000040,94186,4827.722698
2015,E06000041,100539,5380.475686
2015,E06000042,200909,10206.344295
2015,E06000043,169273,7548.493105
2015,E06000044,121310,5636.507651
2015,E06000045,126873,6160.944196
2015,E06000046,62288,2625.44615
2015,E06000047,191869,7732.131735
2015,E06000049,215115,11146.629774
2015,E06000050,184246,8244.920128
2015,E06000051,153419,5518.835891
2015,E06000052,275507,8607.139419
2015,E06000053,1334,47.804987
2015,E06000054,239295,9908.846123
2015,E06000055,85045,3876.3004
2015,E06000056,117572,5245.843091
2015,E06000057,121633,4690.263276
2015,E07000004,100621,4948.993793
2015,E07000005,47077,2439.719559
2015,E07000006,47175,2271.145645
2015,E07000007,100189,5146.876383
2015,E07000008,107352,4534.298333
2015,E07000009,39184,1666.775375
2015,E07000010,41003,1784.131298
2015,E07000011,79460,3537.405813
2015,E07000012,97803,4564.531229
2015,E07000026,41146,1622.891739
2015,E07000027,32759,1505.047956
2015,E07000028,60956,2278.344062
2015,E07000029,37443,1757.946695
2015,E07000030,29578,1082.424004
2015,E07000031,57967,2166.064139
2015,E07000032,56555,2225.889971
2015,E07000033,31645,1200.202369
2015,E07000034,54772,2041.714368
2015,E07000035,43211,1567.163523
2015,E07000036,44856,1747.172852
2015,E07000037,37696,1478.31871
2015,E07000038,31385,1203.91604
2015,E07000039,37846,2079.595232
2015,E07000040,57265,1997.73503
2015,E07000041,103305,4098.03038
2015,E07000042,35291,1237.255793
2015,E07000043,58893,2212.891265
2015,E07000044,46405,1614.322827
2015,E07000045,58120,2034.278881
2015,E07000046,27286,905.875586
2015,E07000047,22640,760.627112
2015,E07000048,23180,852.380272
2015,E07000049,36565,1385.026467
2015,E07000050,31065,1126.665855
2015,E07000051,20503,790.329391
2015,E07000052,62858,2310.407103
2015,E07000053,21944,747.933156
2015,E07000061,49808,2013.439269
2015,E07000062,41341,1776.580476
2015,E07000063,42562,1846.624664
2015,E07000064,34631,1478.387786
2015,E07000065,68503,2904.315341
2015,E07000066,91226,3901.558577
2015,E07000067,66634,2832.001592
2015,E07000068,39605,1883.113607
2015,E07000069,24313,919.326659
2015,E07000070,101675,4147.254589
