,,GEOGRAPHY_CODE,HOUSEHOLD_TYPE,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Wales ,Isle of Anglesey ,W06000001,All,30962.800163,31024.998466,31092.993904,31145.343849,31203.244347,31267.297379,31324.302788,31375.848892,31431.565598,31476.940224,31514.457901,31541.297958,31562.139107,31571.448296,31577.426933,31584.545273,31582.680237,31577.810837,31564.322838,31547.296081,31522.166152,31492.729271,31455.915352,31410.430481,31364.313027,31320.104897
,,W06000001,1 person ,10234.355469,10318.863281,10404.145508,10481.480469,10572.092773,10668.917969,10765.907227,10849.823242,10962.850586,11058.102539,11145.619141,11219.951172,11282.457031,11341.709961,11406.611328,11486.240234,11558.509766,11622.462891,11709.555664,11781.083984,11845.443359,11906.140625,11955.478516,11994.482422,12034.110352,12084.859375
,,W06000001,2 person (No children) ,10124.783203,10143.041016,10168.317383,10172.579102,10175.296875,10181.345703,10173.705078,10172.248047,10142.37793,10124.024414,10108.072266,10095.250977,10091.988281,10079.894531,10064.086914,10037.233398,10009.275391,9988.705078,9930.196289,9881.537109,9828.283203,9771.746094,9716.09375,9654.472656,9591.958008,9520.558594
,,W06000001,"2 person (1 adult, 1 child) ",912.2854,909.994629,906.118408,904.808289,901.715149,900.483337,900.501953,901.169006,902.602905,902.795593,902.693054,901.468506,899.719971,897.522461,894.459778,891.752563,888.30188,886.281006,883.782532,882.582642,881.788147,880.504822,880.042358,880.387146,880.214966,879.455811
,,W06000001,3 person (No children) ,2045.866211,2037.16272,2032.189331,2023.735718,2015.048462,2004.809082,1991.114136,1979.136108,1965.715332,1953.857788,1939.872925,1928.74353,1920.570679,1911.640503,1902.698242,1891.27771,1882.073608,1869.243164,1854.878906,1839.721314,1826.349731,1815.653809,1805.296997,1796.910767,1789.019653,1780.87439
,,W06000001,"3 person (2 adults, 1 child) ",1842.815308,1832.981567,1821.217773,1814.115723,1804.994751,1793.963379,1787.057251,1779.026245,1771.667358,1764.458984,1759.425781,1753.814819,1745.342285,1738.990112,1729.967651,1720.652832,1709.925171,1701.504028,1694.507202,1689.467773,1684.269531,1679.087036,1674.155273,1670.34729,1665.608521,1661.197388
,,W06000001,"3 person (1 adult, 2 children) ",445.006348,437.48999,430.239594,423.710449,418.521942,412.841034,409.672974,406.591522,404.434906,401.516022,399.757843,396.787323,393.914673,389.796478,386.004517,381.972198,376.185333,371.057587,366.41272,362.688354,359.030396,355.251984,351.50412,347.859039,344.197662,340.50174
,,W06000001,4 person (No children) ,692.821228,695.875305,700.762024,703.227539,705.212646,705.954956,703.758911,702.735901,700.478333,698.973267,695.766846,693.834778,692.615173,693.045593,694.237549,696.140198,700.975708,702.962463,708.052429,711.589844,715.893005,721.367981,727.052246,733.549133,739.285828,744.100281
,,W06000001,"4 person (2+ adults, 1+ children) ",2667.635498,2653.813477,2636.121826,2626.169189,2614.601563,2603.755859,2597.5625,2589.997314,2586.117432,2578.89624,2570.556396,2560.654541,2547.943359,2534.493164,2519.289063,2504.549561,2487.962402,2470.98584,2456.583008,2442.789063,2429.209961,2415.03833,2402.396729,2391.568115,2382.272217,2373.567627
,,W06000001,"4 person (1 adult, 3 children) ",168.364487,167.294281,166.549362,166.336914,166.424072,166.922287,167.325058,168.22966,168.68045,168.727722,167.830017,166.799988,165.685989,164.117737,162.473953,160.86171,159.141495,157.705292,156.269974,154.864014,153.540024,152.216019,151.053101,150.064728,149.468323,148.854843
