Region,GEOGRAPHY_CODE,LAD name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
North East,E06000001,Hartlepool,857,887,972,962,950,970,1038,1078,1157,1232,1271,1300,1328,1306,1299,1300,1517,1465,1459
North East,E06000004,Stockton-on-Tees,2246,2297,2513,2513,2490,2554,2786,3045,3236,3392,3484,3546,3553,3492,3601,3637,3588,3964,3946
North East,E06000002,Middlesbrough,1434,1469,1593,1618,1587,1681,1758,2063,2120,2236,2317,2356,2379,2418,2414,2347,2386,2496,2587
North East,E06000003,Redcar and Cleveland,1243,1280,1341,1371,1334,1404,1497,1713,1748,1797,1890,1965,1868,1911,1891,1914,2022,2046,2055
North East,E06000005,Darlington,1289,1316,1376,1417,1533,1669,1845,1928,1858,2049,2156,2206,2131,2300,2328,2337,2251,2450,2591
North East,E06000047,County Durham,4488,4544,4637,4812,4915,5181,5640,5930,6040,6674,6852,7101,7034,7263,7084,7393,7844,7875,8042
North East,E06000057,Northumberland,2983,2992,2905,3023,3102,3399,3629,3823,4037,4280,4363,4499,4319,4279,4396,4508,4672,4945,5029
North East,E08000037,Gateshead,2279,2366,2439,2492,2629,2837,3025,3231,3486,3649,3679,3751,3663,3639,3938,3910,3963,4177,4354
North East,E08000021,Newcastle upon Tyne,3755,3905,4061,4154,4563,4903,5182,5707,6175,6527,6654,6789,6442,6561,7006,7246,7232,7309,7683
North East,E08000022,North Tyneside,1843,1926,2009,2064,2212,2412,2553,2796,2984,3114,3121,3217,3156,3369,3395,3504,3610,3839,4055
North East,E08000023,South Tyneside,1133,1159,1188,1207,1275,1352,1443,1562,1693,1779,1807,1844,1783,1810,1901,1988,2061,2063,2132
North East,E08000024,Sunderland,3107,3198,3150,3320,3622,3890,4059,4377,4866,4906,4999,4924,4835,4702,4729,5024,5211,5590,5745
North West,E07000026,Allerdale,949,964,936,945,978,1028,1113,1155,1178,1328,1372,1532,1569,1637,1657,1741,1778,1858,1838
North West,E07000027,Barrow-in-Furness,753,766,722,736,748,788,851,887,880,1002,1058,1204,1274,1291,1321,1343,1430,1503,1601
North West,E07000029,Copeland,763,785,754,767,762,791,884,924,916,1041,1100,1356,1414,1462,1448,1496,1553,1667,1706
North West,E07000028,Carlisle,1222,1269,1252,1290,1324,1412,1592,1654,1715,1878,1962,2157,2036,2121,2016,2190,2427,2407,2403
North West,E07000030,Eden,656,680,668,697,712,765,877,914,957,1024,1051,1160,1024,1083,1045,1074,1104,1154,1189
North West,E07000031,South Lakeland,1231,1289,1287,1330,1395,1481,1663,1721,1765,1927,2019,2229,2028,2118,2090,2163,2257,2399,2462
North West,E08000003,Manchester,7057,7595,7993,8179,9035,9645,10124,11179,11710,12621,13213,13160,13586,13835,13666,14260,15474,16164,17030
North West,E08000006,Salford,2783,2963,3124,3198,3457,3644,3808,4215,4352,4658,4877,4945,5000,5058,5020,5236,5564,5703,5780
North West,E08000009,Trafford,3697,3923,4150,4251,4588,4851,5092,5442,5601,5905,6152,6183,6171,6355,6404,6515,6979,7268,7614
North West,E08000007,Stockport,3629,3804,4029,4150,4398,4606,4843,5227,5377,5650,5923,6009,6084,6117,6030,6191,6175,6094,6173
North West,E08000008,Tameside,2215,2307,2426,2504,2584,2676,2764,2937,3071,3186,3305,3389,3317,3257,3194,3274,3377,3366,3430
North West,E08000001,Bolton,2743,2863,2974,2935,3060,3191,3415,3555,3790,4037,4180,4216,4089,4130,4148,4266,4424,4555,4721
North West,E08000010,Wigan,2736,2845,2951,2936,3059,3187,3450,3547,3786,4014,4144,4195,3980,4160,4075,4299,4433,4535,4804
North West,E08000002,Bury,1769,1850,1930,1944,2034,2139,2356,2388,2556,2698,2790,2745,2685,2764,2822,2876,2995,3037,3139
North West,E08000004,Oldham,2116,2201,2283,2240,2337,2421,2563,2647,2808,2979,3062,3065,2938,2999,3101,3257,3387,3412,3569
North West,E08000005,Rochdale,1983,2062,2168,2146,2231,2332,2477,2570,2723,2870,2978,2946,2866,2867,2825,3012,3061,3242,3345
North West,E06000008,Blackburn with Darwen,1576,1623,1687,1696,1685,1750,1891,2052,2100,2128,2349,2429,2245,2234,2327,2425,2588,2652,2726
North West,E06000009,Blackpool,1445,1492,1591,1579,1579,1737,1727,1816,1932,2021,2007,1938,1966,2066,2066,2059,2112,2121,2146
North West,E07000121,Lancaster,1453,1497,1513,1524,1593,1644,1853,2034,2103,2204,2315,2357,2270,2257,2238,2346,2480,2577,2683
North West,E07000128,Wyre,1022,1040,1064,1079,1134,1191,1296,1399,1447,1483,1559,1594,1524,1560,1493,1494,1488,1553,1594
North West,E07000119,Fylde,1366,1375,1406,1478,1488,1555,1642,1774,1856,1893,1999,2007,1901,2016,1800,1908,2105,2147,2235
North West,E07000123,Preston,1758,1831,1874,1950,2071,2192,2389,2629,2765,2886,3086,3139,3203,3232,3089,3154,3248,3242,3422
North West,E07000124,Ribble Valley,1117,1132,1155,1125,1160,1206,1344,1393,1425,1419,1524,1627,1532,1546,1498,1523,1629,1607,1842
North West,E07000126,South Ribble,1297,1336,1358,1410,1468,1582,1696,1806,1855,1905,2028,2064,2098,2115,2397,2423,2520,2644,2768
North West,E07000117,Burnley,933,958,974,991,1014,1024,1105,1176,1234,1281,1360,1350,1272,1339,1354,1435,1459,1568,1616
North West,E07000120,Hyndburn,807,822,840,861,879,906,951,1042,1096,1114,1188,1176,1102,1079,1119,1192,1230,1266,1283
North West,E07000122,Pendle,1019,1034,1046,1084,1096,1116,1197,1258,1320,1355,1431,1380,1282,1292,1297,1426,1487,1439,1432
North West,E07000125,Rossendale,693,711,719,742,757,792,861,922,966,968,1029,1019,951,969,962,1001,1067,1126,1185
North West,E07000118,Chorley,1004,1041,1058,1109,1165,1266,1385,1478,1522,1573,1659,1668,1627,1650,1651,1680,1696,1768,1793
North West,E07000127,West Lancashire,1395,1410,1435,1458,1518,1592,1711,1842,1890,1927,2023,2030,1945,1967,1961,2068,2135,2211,2289
North West,E06000007,Warrington,2987,3181,3304,3482,3889,4118,4338,4325,4768,5315,5414,5422,5337,5592,5520,6038,5942,6411,6505
North West,E06000049,Cheshire East,5550,5703,5944,5826,6679,7051,7277,7592,8042,8714,9118,9492,9276,9300,9432,10236,11384,11684,12130
North West,E06000050,Cheshire West and Chester,4686,4841,5135,5037,5695,6009,6274,6575,7026,7614,8014,8269,8202,8053,7880,8175,8181,8575,8966
North West,E06000006,Halton,1539,1607,1684,1732,1920,1971,2113,2190,2283,2438,2495,2687,2616,2883,3006,2858,3050,3266,3380
North West,E08000011,Knowsley,1523,1601,1681,1744,1890,1958,2104,2170,2301,2428,2506,2666,2617,2826,2855,2737,3106,3419,3652
North West,E08000013,St. Helens,1503,1601,1680,1766,1913,2033,2165,2295,2425,2607,2681,2762,2683,2729,2732,2716,2642,2789,2810
North West,E08000012,Liverpool,5440,5855,6197,6482,6562,7066,7719,8027,8382,9420,9541,9908,10837,10435,10019,9961,10093,10613,10907
North West,E08000014,Sefton,2799,2908,3063,3113,3232,3532,3513,3843,3787,4058,4042,4092,4028,3990,3901,3793,3885,3915,4042
North West,E08000015,Wirral,2904,3042,3093,3132,3217,3456,3735,3785,3883,4097,4119,4300,4059,4088,4271,4056,4274,4427,4661
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",2931,2947,2948,3226,3258,3499,3870,4109,4255,4518,4803,4713,4917,4669,4772,4913,5029,5004,5129
Yorkshire and The Humber,E06000011,East Riding of Yorkshire,3549,3595,3519,3683,3903,4230,4447,5033,5064,5230,5381,5519,5653,5521,5379,5712,5833,5815,5990
Yorkshire and The Humber,E06000012,North East Lincolnshire,1841,1904,1820,1792,1893,2033,2172,2298,2494,2585,2858,2798,2980,2771,2836,2809,2917,3253,3267
Yorkshire and The Humber,E06000013,North Lincolnshire,2557,2633,2449,2413,2500,2737,2953,2925,3174,3331,3699,3620,3969,3727,3751,3573,3251,3409,3415
Yorkshire and The Humber,E06000014,York,2856,2918,2953,3129,3332,3704,3979,4317,4274,4383,4654,4553,4491,4499,4638,4758,4922,4907,5068
Yorkshire and The Humber,E07000163,Craven,773,776,788,810,826,945,1044,1117,1180,1222,1332,1352,1311,1225,1259,1279,1327,1410,1488
Yorkshire and The Humber,E07000164,Hambleton,1113,1125,1129,1197,1265,1408,1520,1584,1647,1704,1782,1851,1738,1769,1865,1862,1988,2045,2082
Yorkshire and The Humber,E07000165,Harrogate,1996,2059,2158,2259,2347,2656,2903,3017,3129,3267,3487,3522,3293,3512,3558,3544,3781,3760,3828
Yorkshire and The Humber,E07000166,Richmondshire,502,508,522,537,546,611,666,714,726,761,794,824,772,852,837,916,900,976,958
Yorkshire and The Humber,E07000167,Ryedale,606,608,631,666,695,773,839,871,915,951,989,1010,948,996,1009,1037,1107,1222,1229
Yorkshire and The Humber,E07000168,Scarborough,1189,1198,1192,1253,1283,1437,1557,1673,1739,1782,1849,1933,1826,1861,1905,1908,2044,2068,2098
Yorkshire and The Humber,E07000169,Selby,1163,1156,1116,1213,1263,1350,1405,1409,1511,1630,1644,1627,1617,1619,1689,1793,1881,1816,1879
Yorkshire and The Humber,E08000016,Barnsley,1893,1977,1923,1996,2053,2215,2428,2648,2755,2905,3111,3038,2897,3029,3079,3131,3300,3448,3499
Yorkshire and The Humber,E08000017,Doncaster,2556,2730,2701,2839,2944,3225,3541,3870,4004,4265,4543,4449,4261,4492,4437,4508,4646,4873,5148
Yorkshire and The Humber,E08000018,Rotherham,2339,2460,2409,2544,2641,2880,3129,3371,3541,3750,4004,3861,3722,3859,3897,3958,4069,4239,4369
