geo_code,geo_label
E07000008,Cambridge
E07000177,Cherwell
E07000099,North Hertfordshire
E06000055,Bedford
E06000056,Central Bedfordshire
E07000012,South Cambridgeshire
E06000032,Luton
E07000179,South Oxfordshire
E07000004,Aylesbury Vale
E07000180,Vale of White Horse
E07000181,West Oxfordshire
E07000155,South Northamptonshire
E06000042,Milton Keynes
E07000178,Oxford
E06000030,Swindon
E07000151,Daventry
E07000154,Northampton
E07000156,Wellingborough
E07000009,East Cambridgeshire
E07000242,East Hertfordshire
E07000011,Huntingdonshire
E07000243,Stevenage
