GEOGRAPHY_CODE,YEAR,GVA,JOBS,HOUSEHOLDS
E06000031,2019,0.0,0,0
E06000032,2019,0.0,0,0
E06000042,2019,202.301696,1772,842
E06000055,2019,65.139548,703,558
E06000056,2019,92.648031,1017,0
E07000004,2019,89.91053,830,474
E07000005,2019,0.0,0,0
E07000006,2019,0.0,0,0
E07000007,2019,0.0,0,0
E07000008,2019,96.597744,1087,504
E07000009,2019,30.26027,345,0
E07000010,2019,0.0,0,0
E07000011,2019,63.404539,664,202
E07000012,2019,106.121095,1139,603
E07000150,2019,0.0,0,0
E07000151,2019,0.0,0,0
E07000152,2019,0.0,0,0
E07000153,2019,0.0,0,0
E07000154,2019,0.0,0,0
E07000155,2019,0.0,0,0
E07000156,2019,0.0,0,0
E07000177,2019,84.323699,755,855
E07000178,2019,118.275763,1137,280
E07000179,2019,73.834928,736,0
E07000180,2019,91.201264,819,0
E07000181,2019,58.106541,496,0
E06000031,2020,0.0,0,0
E06000032,2020,0.0,0,0
E06000042,2020,202.301696,1772,842
E06000055,2020,65.139548,703,558
E06000056,2020,92.648031,1017,0
E07000004,2020,89.91053,830,474
E07000005,2020,0.0,0,0
E07000006,2020,0.0,0,0
E07000007,2020,0.0,0,0
E07000008,2020,96.597744,1087,504
E07000009,2020,30.26027,345,0
E07000010,2020,0.0,0,0
E07000011,2020,63.404539,664,202
E07000012,2020,106.121095,1139,603
E07000150,2020,-0.0,0,0
E07000151,2020,0.0,0,0
E07000152,2020,0.0,0,0
E07000153,2020,0.0,0,0
E07000154,2020,0.0,0,0
E07000155,2020,0.0,0,0
E07000156,2020,0.0,0,0
E07000177,2020,84.323699,755,855
E07000178,2020,118.275763,1137,280
E07000179,2020,73.834928,736,0
E07000180,2020,91.201264,819,0
E07000181,2020,58.106541,496,0
E06000031,2021,0.0,0,0
E06000032,2021,0.0,0,0
E06000042,2021,202.301696,1772,842
E06000055,2021,65.139548,703,558
E06000056,2021,92.648031,1017,0
E07000004,2021,89.91053,830,474
E07000005,2021,0.0,0,0
E07000006,2021,0.0,0,0
E07000007,2021,0.0,0,0
E07000008,2021,96.597744,1087,504
E07000009,2021,30.26027,345,0
E07000010,2021,0.0,0,0
E07000011,2021,63.404539,664,202
E07000012,2021,106.121095,1139,603
E07000150,2021,0.0,0,0
E07000151,2021,0.0,0,0
E07000152,2021,0.0,0,0
E07000153,2021,0.0,0,0
E07000154,2021,0.0,0,0
E07000155,2021,0.0,0,0
