YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2019,E06000031,0
2019,E06000032,0
2019,E06000042,842
2019,E06000055,558
2019,E06000056,0
2019,E07000004,474
2019,E07000005,0
2019,E07000006,0
2019,E07000007,0
2019,E07000008,504
2019,E07000009,0
2019,E07000010,0
2019,E07000011,202
2019,E07000012,603
2019,E07000150,0
2019,E07000151,0
2019,E07000152,0
2019,E07000153,0
2019,E07000154,0
2019,E07000155,0
2019,E07000156,0
2019,E07000177,855
2019,E07000178,280
2019,E07000179,0
2019,E07000180,0
2019,E07000181,0
2020,E06000031,0
2020,E06000032,0
2020,E06000042,842
2020,E06000055,558
2020,E06000056,0
2020,E07000004,474
2020,E07000005,0
2020,E07000006,0
2020,E07000007,0
2020,E07000008,504
2020,E07000009,0
2020,E07000010,0
2020,E07000011,202
2020,E07000012,603
2020,E07000150,0
2020,E07000151,0
2020,E07000152,0
2020,E07000153,0
2020,E07000154,0
2020,E07000155,0
2020,E07000156,0
2020,E07000177,855
2020,E07000178,280
2020,E07000179,0
2020,E07000180,0
2020,E07000181,0
2021,E06000031,0
2021,E06000032,0
2021,E06000042,842
2021,E06000055,558
2021,E06000056,0
2021,E07000004,474
2021,E07000005,0
2021,E07000006,0
2021,E07000007,0
2021,E07000008,504
2021,E07000009,0
2021,E07000010,0
2021,E07000011,202
2021,E07000012,603
2021,E07000150,0
2021,E07000151,0
2021,E07000152,0
2021,E07000153,0
2021,E07000154,0
2021,E07000155,0
2021,E07000156,0
2021,E07000177,855
2021,E07000178,280
2021,E07000179,0
2021,E07000180,0
2021,E07000181,0
2022,E06000031,0
2022,E06000032,0
2022,E06000042,842
2022,E06000055,558
2022,E06000056,0
2022,E07000004,474
2022,E07000005,0
2022,E07000006,0
2022,E07000007,0
2022,E07000008,504
2022,E07000009,0
2022,E07000010,0
2022,E07000011,202
2022,E07000012,603
2022,E07000150,0
2022,E07000151,0
2022,E07000152,0
2022,E07000153,0
2022,E07000154,0
2022,E07000155,0
2022,E07000156,0
2022,E07000177,855
2022,E07000178,280
2022,E07000179,0
2022,E07000180,0
2022,E07000181,0
2023,E06000031,0
2023,E06000032,0
2023,E06000042,842
2023,E06000055,558
2023,E06000056,0
2023,E07000004,474
2023,E07000005,0
2023,E07000006,0
2023,E07000007,0
2023,E07000008,504
2023,E07000009,0
2023,E07000010,0
2023,E07000011,202
2023,E07000012,603
2023,E07000150,0
2023,E07000151,0
2023,E07000152,0
2023,E07000153,0
2023,E07000154,0
2023,E07000155,0
2023,E07000156,0
2023,E07000177,855
2023,E07000178,280
2023,E07000179,0
2023,E07000180,0
2023,E07000181,0
2024,E06000031,0
2024,E06000032,0
2024,E06000042,842
2024,E06000055,558
2024,E06000056,0
2024,E07000004,474
2024,E07000005,0
2024,E07000006,0
2024,E07000007,0
2024,E07000008,504
2024,E07000009,0
2024,E07000010,0
2024,E07000011,202
2024,E07000012,603
2024,E07000150,0
2024,E07000151,0
2024,E07000152,0
2024,E07000153,0
2024,E07000154,0
2024,E07000155,0
2024,E07000156,0
2024,E07000177,855
2024,E07000178,280
2024,E07000179,0
2024,E07000180,0
