GEOGRAPHY_CODE,YEAR,HOUSEHOLDS,CUM_HOUSEHOLDS,D_JOBS,CUM_D_JOBS
E06000030,2020,-170.640230618044,-170.640230618044,-17.5275716368699,-17.5275716368699
E06000032,2020,-140.138786809345,-140.138786809345,-14.3945692994458,-14.3945692994458
E06000042,2020,-301.573881633541,-301.573881633541,4392.63090683954,4392.63090683954
E06000055,2020,-233.310554269493,-233.310554269493,-23.9648495479936,-23.9648495479936
E07000008,2020,58.2132332823761,58.2132332823761,4429.58698928195,4429.58698928195
E07000009,2020,-89.7071800829893,-89.7071800829893,-9.2144098701184,-9.2144098701184
E07000099,2020,-127.027204717185,-127.027204717185,-13.0477931402677,-13.0477931402677
E07000151,2020,-84.0733496396588,-84.0733496396588,-8.63572238049301,-8.63572238049301
E07000154,2020,-224.683711028611,-224.683711028611,-23.0787301823731,-23.0787301823731
E07000155,2020,-91.6268116182573,-91.6268116182573,-9.41158775208058,-9.41158775208058
E07000156,2020,-65.6194089539192,-65.6194089539192,-6.74019770744064,-6.74019770744064
E07000177,2020,-98.2510778772641,-98.2510778772641,-10.0920093676393,-10.0920093676393
E07000178,2020,13.7369029045672,13.7369029045672,4425.01853514884,4425.01853514884
E07000179,2020,-86.0986655601663,-86.0986655601663,-8.84375579532968,-8.84375579532968
E07000180,2020,-143.091748067262,-143.091748067262,-14.6978872204399,-14.6978872204399
E07000181,2020,-73.5054279100252,-73.5054279100252,-7.55022217636118,-7.55022217636118
E07000242,2020,-184.965503559728,-184.965503559728,-18.9990139034074,-18.9990139034074
E07000243,2020,-71.4286909805635,-71.4286909805635,-7.33690697413581,-7.33690697413581
E07000004,2020,8462.95948967024,8462.95948967024,2638.72880735772,2638.72880735772
E06000056,2020,4456.94420248963,4456.94420248963,1342.52332944211,1342.52332944211
E07000012,2020,4456.94420248963,4456.94420248963,1342.52332944211,1342.52332944211
E07000011,2020,4456.94420248963,4456.94420248963,1342.52332944211,1342.52332944211
E06000030,2021,-155.305917274505,-325.946147892549,-15.9524842459444,-33.4800558828143
E06000032,2021,-122.587168552087,-262.725955361432,-12.5917280513247,-26.9862973507705
E06000042,2021,-295.024292116192,-596.598173749733,4393.30365791965,8785.93456475919
E06000055,2021,-224.753478226687,-458.06403249618,-23.0858964265686,-47.0507459745622
E07000008,2021,60.2333812622842,118.44661454466,4429.79449186388,8859.38148114583
E07000009,2021,-80.9128955667153,-170.620075649704,-8.31109151842772,-17.5255013885461
E07000099,2021,-122.34737610832,-249.374580825505,-12.5670974046075,-25.6148905448751
E07000151,2021,-80.1870583096738,-164.260407949333,-8.23653603714746,-16.8722584176405
E07000154,2021,-213.183234417998,-437.866945446609,-21.8974411808253,-44.9761713631985
E07000155,2021,-90.7503288927722,-182.377140511029,-9.32155849166657,-18.7331462437471
E07000156,2021,-65.84912391352,-131.468532867439,-6.76379322999636,-13.503990937437
E07000177,2021,-85.133811050447,-183.384888927711,-8.74464929226759,-18.8366586599069
