GEOGRAPHY_CODE,YEAR,GVA,JOBS,HOUSEHOLDS
E06000031,2019,0.0,0,0
E06000032,2019,0.0,0,0
E06000042,2019,542.828036,4860,0
E06000055,2019,199.162587,2078,0
E06000056,2019,275.058377,2898,0
E07000004,2019,282.988417,2448,0
E07000005,2019,0.0,0,0
E07000006,2019,0.0,0,0
E07000007,2019,0.0,0,0
E07000008,2019,242.072071,2781,0
E07000009,2019,30.26027,345,0
E07000010,2019,0.0,0,0
E07000011,2019,63.404539,664,0
E07000012,2019,296.383656,2936,0
E07000150,2019,0.0,0,0
E07000151,2019,0.0,0,0
E07000152,2019,0.0,0,0
E07000153,2019,0.0,0,0
E07000154,2019,0.0,0,0
E07000155,2019,0.0,0,0
E07000156,2019,0.0,0,0
E07000177,2019,256.144416,2181,0
E07000178,2019,331.104553,3193,0
E07000179,2019,73.834928,736,0
E07000180,2019,91.201264,819,0
E07000181,2019,58.106541,496,0
E06000031,2020,0.0,0,-479
E06000032,2020,0.0,0,-199
E06000042,2020,542.828036,4860,-748
E06000055,2020,199.162587,2078,-396
E06000056,2020,275.058377,2898,5623
E07000004,2020,282.988417,2448,2660
E07000005,2020,0.0,0,-90
E07000006,2020,0.0,0,-112
E07000007,2020,0.0,0,-248
E07000008,2020,242.072071,2781,-337
E07000009,2020,30.26027,345,-151
E07000010,2020,0.0,0,-196
E07000011,2020,63.404539,664,-336
E07000012,2020,296.383656,2936,2765
E07000150,2020,-0.0,0,-208
E07000151,2020,0.0,0,-140
E07000152,2020,0.0,0,-176
E07000153,2020,0.0,0,-242
E07000154,2020,0.0,0,-325
E07000155,2020,0.0,0,-160
E07000156,2020,0.0,0,-122
E07000177,2020,256.144416,2181,2849
E07000178,2020,331.104553,3193,-137
E07000179,2020,73.834928,736,-234
E07000180,2020,91.201264,819,-320
E07000181,2020,58.106541,496,-204
E06000031,2021,0.0,0,-479
E06000032,2021,0.0,0,-199
E06000042,2021,542.828036,4860,-748
E06000055,2021,199.162587,2078,-396
E06000056,2021,275.058377,2898,5623
E07000004,2021,282.988417,2448,2660
E07000005,2021,0.0,0,-90
E07000006,2021,0.0,0,-112
E07000007,2021,0.0,0,-248
E07000008,2021,242.072071,2781,-337
E07000009,2021,30.26027,345,-151
E07000010,2021,0.0,0,-196
E07000011,2021,63.404539,664,-336
E07000012,2021,296.383656,2936,2765
E07000150,2021,0.0,0,-208
E07000151,2021,0.0,0,-140
E07000152,2021,0.0,0,-176
