YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2019,E06000031,0
2019,E06000032,0
2019,E06000042,0
2019,E06000055,0
2019,E06000056,0
2019,E07000004,0
2019,E07000005,0
2019,E07000006,0
2019,E07000007,0
2019,E07000008,0
2019,E07000009,0
2019,E07000010,0
2019,E07000011,0
2019,E07000012,0
2019,E07000150,0
2019,E07000151,0
2019,E07000152,0
2019,E07000153,0
2019,E07000154,0
2019,E07000155,0
2019,E07000156,0
2019,E07000177,0
2019,E07000178,0
2019,E07000179,0
2019,E07000180,0
2019,E07000181,0
2020,E06000031,-479
2020,E06000032,-199
2020,E06000042,-748
2020,E06000055,-396
2020,E06000056,5623
2020,E07000004,2660
2020,E07000005,-90
2020,E07000006,-112
2020,E07000007,-248
2020,E07000008,-337
2020,E07000009,-151
2020,E07000010,-196
2020,E07000011,-336
2020,E07000012,2765
2020,E07000150,-208
2020,E07000151,-140
2020,E07000152,-176
2020,E07000153,-242
2020,E07000154,-325
2020,E07000155,-160
2020,E07000156,-122
2020,E07000177,2849
2020,E07000178,-137
2020,E07000179,-234
2020,E07000180,-320
2020,E07000181,-204
2021,E06000031,-479
2021,E06000032,-199
2021,E06000042,-748
2021,E06000055,-396
2021,E06000056,5623
2021,E07000004,2660
2021,E07000005,-90
2021,E07000006,-112
2021,E07000007,-248
2021,E07000008,-337
2021,E07000009,-151
2021,E07000010,-196
2021,E07000011,-336
2021,E07000012,2765
2021,E07000150,-208
2021,E07000151,-140
2021,E07000152,-176
2021,E07000153,-242
2021,E07000154,-325
2021,E07000155,-160
2021,E07000156,-122
2021,E07000177,2849
2021,E07000178,-137
2021,E07000179,-234
2021,E07000180,-320
2021,E07000181,-204
2022,E06000031,-479
2022,E06000032,-199
2022,E06000042,-748
2022,E06000055,-396
2022,E06000056,5623
2022,E07000004,2660
2022,E07000005,-90
2022,E07000006,-112
2022,E07000007,-248
2022,E07000008,-337
2022,E07000009,-151
2022,E07000010,-196
2022,E07000011,-336
2022,E07000012,2765
2022,E07000150,-208
2022,E07000151,-140
2022,E07000152,-176
2022,E07000153,-242
2022,E07000154,-325
2022,E07000155,-160
2022,E07000156,-122
2022,E07000177,2849
2022,E07000178,-137
2022,E07000179,-234
2022,E07000180,-320
2022,E07000181,-204
2023,E06000031,-479
2023,E06000032,-199
2023,E06000042,-748
2023,E06000055,-396
2023,E06000056,5623
2023,E07000004,2660
2023,E07000005,-90
2023,E07000006,-112
2023,E07000007,-248
2023,E07000008,-337
2023,E07000009,-151
2023,E07000010,-196
2023,E07000011,-336
2023,E07000012,2765
2023,E07000150,-208
2023,E07000151,-140
2023,E07000152,-176
2023,E07000153,-242
2023,E07000154,-325
2023,E07000155,-160
2023,E07000156,-122
2023,E07000177,2849
2023,E07000178,-137
2023,E07000179,-234
2023,E07000180,-320
2023,E07000181,-204
2024,E06000031,-479
2024,E06000032,-199
2024,E06000042,-748
2024,E06000055,-396
2024,E06000056,5623
2024,E07000004,2660
2024,E07000005,-90
2024,E07000006,-112
2024,E07000007,-248
2024,E07000008,-337
2024,E07000009,-151
2024,E07000010,-196
2024,E07000011,-336
