GEOGRAPHY_CODE,YEAR,GVA,JOBS,HOUSEHOLDS
E06000031,2019,0.0,0,0
E06000032,2019,0.0,0,0
E06000042,2019,542.828036,4860,0
E06000055,2019,65.139548,703,0
E06000056,2019,92.648031,1017,0
E07000004,2019,89.91053,830,0
E07000005,2019,0.0,0,0
E07000006,2019,0.0,0,0
E07000007,2019,0.0,0,0
E07000008,2019,273.117227,2972,0
E07000009,2019,78.483679,928,0
E07000010,2019,0.0,0,0
E07000011,2019,63.404539,664,0
E07000012,2019,296.383656,2936,0
E07000150,2019,0.0,0,0
E07000151,2019,0.0,0,0
E07000152,2019,0.0,0,0
E07000153,2019,0.0,0,0
E07000154,2019,0.0,0,0
E07000155,2019,0.0,0,0
E07000156,2019,0.0,0,0
E07000177,2019,237.521922,2102,0
E07000178,2019,382.023765,3434,0
E07000179,2019,211.670045,1991,0
E07000180,2019,250.574654,2126,0
E07000181,2019,157.382693,1357,0
E06000031,2020,0.0,0,417
E06000032,2020,0.0,0,334
E06000042,2020,542.828036,4860,3336
E06000055,2020,65.139548,703,1668
E06000056,2020,92.648031,1017,0
E07000004,2020,89.91053,830,0
E07000005,2020,0.0,0,0
E07000006,2020,0.0,0,0
E07000007,2020,0.0,0,0
E07000008,2020,273.117227,2972,834
E07000009,2020,78.483679,928,0
E07000010,2020,0.0,0,0
E07000011,2020,63.404539,664,0
E07000012,2020,296.383656,2936,250
E07000150,2020,-0.0,0,0
E07000151,2020,0.0,0,0
E07000152,2020,0.0,0,0
E07000153,2020,0.0,0,0
E07000154,2020,0.0,0,834
E07000155,2020,0.0,0,0
E07000156,2020,0.0,0,0
E07000177,2020,237.521922,2102,0
E07000178,2020,382.023765,3434,667
E07000179,2020,211.670045,1991,0
E07000180,2020,250.574654,2126,0
E07000181,2020,157.382693,1357,0
E06000031,2021,0.0,0,417
E06000032,2021,0.0,0,334
E06000042,2021,542.828036,4860,3336
E06000055,2021,65.139548,703,1668
E06000056,2021,92.648031,1017,0
E07000004,2021,89.91053,830,0
E07000005,2021,0.0,0,0
E07000006,2021,0.0,0,0
E07000007,2021,0.0,0,0
E07000008,2021,273.117227,2972,834
E07000009,2021,78.483679,928,0
E07000010,2021,0.0,0,0
E07000011,2021,63.404539,664,0
E07000012,2021,296.383656,2936,250
E07000150,2021,0.0,0,0
E07000151,2021,0.0,0,0
E07000152,2021,0.0,0,0
E07000153,2021,0.0,0,0
E07000154,2021,0.0,0,834
E07000155,2021,0.0,0,0
