YEAR,GEOGRAPHY_CODE,HOUSEHOLDS
2019,E06000031,0
2019,E06000032,0
2019,E06000042,0
2019,E06000055,0
2019,E06000056,0
2019,E07000004,0
2019,E07000005,0
2019,E07000006,0
2019,E07000007,0
2019,E07000008,0
2019,E07000009,0
2019,E07000010,0
2019,E07000011,0
2019,E07000012,0
2019,E07000150,0
2019,E07000151,0
2019,E07000152,0
2019,E07000153,0
2019,E07000154,0
2019,E07000155,0
2019,E07000156,0
2019,E07000177,0
2019,E07000178,0
2019,E07000179,0
2019,E07000180,0
2019,E07000181,0
2020,E06000031,417
2020,E06000032,1334
2020,E06000042,2502
2020,E06000055,1084
2020,E06000056,0
2020,E07000004,0
2020,E07000005,0
2020,E07000006,0
2020,E07000007,0
2020,E07000008,834
2020,E07000009,0
2020,E07000010,0
2020,E07000011,0
2020,E07000012,500
2020,E07000150,0
2020,E07000151,0
2020,E07000152,0
2020,E07000153,0
2020,E07000154,834
2020,E07000155,0
2020,E07000156,0
2020,E07000177,0
2020,E07000178,834
2020,E07000179,0
2020,E07000180,0
2020,E07000181,0
2021,E06000031,417
2021,E06000032,1334
2021,E06000042,2502
2021,E06000055,1084
2021,E06000056,0
2021,E07000004,0
2021,E07000005,0
2021,E07000006,0
2021,E07000007,0
2021,E07000008,834
2021,E07000009,0
2021,E07000010,0
2021,E07000011,0
2021,E07000012,500
2021,E07000150,0
2021,E07000151,0
2021,E07000152,0
2021,E07000153,0
2021,E07000154,834
2021,E07000155,0
2021,E07000156,0
2021,E07000177,0
2021,E07000178,834
2021,E07000179,0
2021,E07000180,0
2021,E07000181,0
2022,E06000031,417
2022,E06000032,1334
2022,E06000042,2502
2022,E06000055,1084
2022,E06000056,0
2022,E07000004,0
2022,E07000005,0
2022,E07000006,0
2022,E07000007,0
2022,E07000008,834
2022,E07000009,0
2022,E07000010,0
2022,E07000011,0
2022,E07000012,500
2022,E07000150,0
2022,E07000151,0
2022,E07000152,0
2022,E07000153,0
2022,E07000154,834
2022,E07000155,0
2022,E07000156,0
2022,E07000177,0
2022,E07000178,834
2022,E07000179,0
2022,E07000180,0
2022,E07000181,0
2023,E06000031,417
2023,E06000032,1334
2023,E06000042,2502
2023,E06000055,1084
2023,E06000056,0
2023,E07000004,0
2023,E07000005,0
2023,E07000006,0
2023,E07000007,0
2023,E07000008,834
2023,E07000009,0
2023,E07000010,0
2023,E07000011,0
2023,E07000012,500
2023,E07000150,0
2023,E07000151,0
2023,E07000152,0
2023,E07000153,0
2023,E07000154,834
2023,E07000155,0
2023,E07000156,0
2023,E07000177,0
2023,E07000178,834
2023,E07000179,0
2023,E07000180,0
2023,E07000181,0
2024,E06000031,417
2024,E06000032,1334
2024,E06000042,2502
2024,E06000055,1084
2024,E06000056,0
2024,E07000004,0
2024,E07000005,0
2024,E07000006,0
2024,E07000007,0
2024,E07000008,834
2024,E07000009,0
2024,E07000010,0
2024,E07000011,0
2024,E07000012,500
2024,E07000150,0
2024,E07000151,0
2024,E07000152,0
2024,E07000153,0
2024,E07000154,834
2024,E07000155,0
2024,E07000156,0
2024,E07000177,0
2024,E07000178,834
